"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","1uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","1","","",""
"C3","100pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1","","",""
"C4,C5","4.7uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","2","","",""
"C6","2.2uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","1","","",""
"C7","100uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","1","","",""
"J1","Mic Input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","~","1","","",""
"J2","Audio Output","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","~","1","","",""
"J3","12V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","~","1","","",""
"Q1,Q2","BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","2","","",""
"R1","390k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","",""
"R2","680","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","",""
"R3","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","",""
"R4,R5","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","",""
"R6","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","",""
"R7","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1","","",""
